SN z vsi vsi_err salt2c salt2c_err salt2_x1 salt2_x1_err t0 t0_err mB mB_err hostM hostM_err
2007as 0.018 -12.96 0.66 0.05 0.023 -1.0 0.04 54181.67 0.09 15.23 0.03 10.41 0.16
2007ax 0.007 -9.77 0.3 0.505 0.027 -2.0 0.06 54187.67 0.09 15.95 0.03 10.53 0.16
2007ba 0.038 -10.61 0.31 0.272 0.024 -2.26 0.06 54197.1 0.07 17.52 0.02 11.06 0.16
2007bc 0.022 -10.49 0.26 -0.002 0.022 -1.1 0.03 54200.35 0.07 15.58 0.02 10.83 0.14
2007bd 0.032 -12.49 0.23 -0.071 0.023 -1.08 0.04 54206.84 0.05 16.27 0.02 10.79 0.16
2007bm 0.007 -10.82 0.49 0.384 0.023 -0.94 0.04 54224.94 0.08 14.15 0.02 10.42 0.23
2007ca 0.015 -11.09 0.28 0.234 0.022 0.57 0.03 54227.71 0.04 15.63 0.02 9.75 0.27
2007cg 0.033 -11.65 0.3 - - - - - - - - 10.63 0.18
2007hj 0.014 -12.3 0.22 0.121 0.023 -2.06 0.04 54348.82 0.1 15.33 0.03 10.59 0.16
2007jd 0.073 -15.02 0.28 0.075 0.024 -0.89 0.07 54361.69 0.01 18.63 0.03 10.05 0.16
2007jg 0.037 -12.62 0.45 -0.004 0.022 -0.58 0.06 54366.63 0.08 17.01 0.03 9.1 0.16
2007jh 0.041 -10.68 0.32 - - - - - - - - 11.11 0.12
2007le 0.007 -13.31 0.23 0.25 0.021 0.25 0.03 54399.38 0.03 13.61 0.02 10.46 0.16
2007N 0.013 -10.41 0.22 0.844 0.041 -2.96 0.11 54120.36 0.08 17.61 0.05 10.33 0.16
2007nq 0.045 -12.11 0.36 -0.022 0.023 -1.9 0.05 54398.46 0.1 17.15 0.02 11.53 0.29
2007on 0.006 -11.24 0.22 0.007 0.04 -2.3 0.08 54419.81 0.09 12.8 0.03 10.91 0.16
2007S 0.014 -10.65 0.22 0.377 0.023 1.09 0.05 54144.69 0.05 15.55 0.02 9.93 0.13
2007sr 0.006 -13.59 0.22 0.053 0.022 -0.02 0.03 54449.58 0.09 12.48 0.02 10.45 0.42
2007ux 0.031 -10.74 0.39 - - - - - - - - 10.28 0.12
2008ar 0.026 -10.59 0.22 -0.029 0.022 -0.15 0.04 54534.83 0.04 15.95 0.02 10.38 0.13
2008bc 0.015 -11.55 0.23 -0.09 0.007 0.57 0.02 54550.05 0.03 14.47 0.04 10.14 0.16
2008bf 0.022 -11.59 0.24 -0.119 0.021 0.37 0.03 54555.11 0.03 15.42 0.02 11.28 0.16
2008bq 0.034 -10.79 0.31 0.045 0.022 0.36 0.04 54563.52 0.08 16.48 0.03 11.29 0.22
2008bz 0.06 -11.43 0.24 -0.102 0.023 -0.5 0.08 54579.36 0.16 17.69 0.02 10.88 0.19
2008C 0.017 -10.87 0.22 0.12 0.023 -0.74 0.07 54467.52 0.16 15.42 0.03 10.5 0.14
2008cd 0.007 -9.32 0.23 - - - - - - - - 10.65 0.16
2008cf 0.046 -10.27 0.33 -0.105 0.029 1.36 0.39 54595.09 0.69 16.77 0.03 - -
2008fp 0.006 -10.99 0.22 0.358 0.022 0.29 0.03 54730.76 0.01 13.61 0.04 10.22 0.16
2008fr 0.039 -10.96 0.22 -0.086 0.028 0.55 0.11 54732.62 0.32 16.56 0.03 8.7 0.23
2008gl 0.034 -11.99 0.57 0.002 0.022 -1.38 0.03 54768.21 0.06 16.55 0.02 11.12 0.12
