,SN,z_helio,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,AV,AV_err,theta,theta_err
48,2008C,0.01662,0.01755,0.0005,34.31147,0.08749,34.36427,0.09594,10.49,0.07200000000000001,54466.6,0.50043,0.05047,-0.8972100000000001,0.19542
49,2008O,0.038860000000000006,0.03905,0.0005,36.0836,0.03932,35.95177,0.09926,11.33,0.0763,54491.91,0.84486,0.054060000000000004,1.9849,0.19197999999999998
50,2008R,0.0135,0.01541,0.0005,34.02552,0.09963999999999999,33.6702,0.09832,11.25,0.0618,54495.1,0.42908,0.04439,2.32154,0.16875
51,2008ar,0.02617,0.02895,0.0005,35.41724,0.05304,35.29802,0.09316,10.21,0.0311,54535.22,0.21900999999999998,0.04885,-0.63517,0.17335
52,2008bc,0.015090000000000001,0.0156,0.0005,34.05245,0.09842999999999999,34.13028,0.09387000000000001,10.1,0.2251,54550.41,0.0218,0.01784,-0.97839,0.09484
53,2008bq,0.034010000000000006,0.0354,0.0005,35.86458,0.04337,35.691179999999996,0.09244,10.82,0.0774,54562.3,0.28339000000000003,0.04935,-1.0875299999999999,0.15464
54,2008bz,0.06015,0.060110000000000004,0.0005,37.05388,0.02554,37.18492,0.10268,10.5,0.0226,54578.69,0.06154,0.04867,-0.10232000000000001,0.16507
55,2008cc,0.01039,0.00944,0.0005,32.95131,0.16265,32.936690000000006,0.09741,10.48,0.0355,54579.0,0.35516,0.04879,2.0283,0.18863
56,2008cf,0.046,0.04476,0.0005,36.38917,0.0343,36.46646,0.08946,8.73,0.0577,54594.2,0.01183,0.01105,-1.44211,0.13146
57,2008fl,0.019880000000000002,0.01995,0.0005,34.59381,0.07697000000000001,34.48511,0.09565,10.94,0.1569,54721.85,0.31592,0.04948,0.47673999999999994,0.17993
58,2008fp,0.00566,0.006520000000000001,0.0005,32.14273,0.2355,31.735940000000003,0.09807,10.2,0.1686,54731.52,1.33979,0.036430000000000004,-2.0943,0.11605
59,2008fr,0.039,0.03837,0.0005,36.04435,0.04002,36.09787,0.09696,7.73,0.0395,54733.93,0.04802,0.03323,-0.67785,0.16452999999999998
60,2008fu,0.052020000000000004,0.05264,0.0005,36.7539,0.029169999999999998,36.72038,0.0916,10.72,0.018000000000000002,54733.96,0.043989999999999994,0.03129,1.4660600000000001,0.18895
61,2008fw,0.00855,0.00863,0.0005,32.75513,0.17792,33.04661,0.09846,10.49,0.1123,54732.29,0.26805,0.04822,-1.33823,0.1617
62,2008gg,0.03202,0.03112,0.0005,35.57776,0.049339999999999995,35.67014,0.10055,10.73,0.0195,54750.93,0.19153,0.0495,-1.1637600000000001,0.16555999999999998
63,2008gl,0.03402,0.0332,0.0005,35.72166,0.04625,35.79448,0.09829,10.86,0.0244,54768.7,0.09577000000000001,0.042460000000000005,0.89902,0.17486
64,2008go,0.062270000000000006,0.06324,0.0005,37.16902,0.02428,37.01398,0.10640999999999999,10.94,0.032,54766.72,0.17815999999999999,0.07555,0.30138000000000004,0.2403
65,2008gp,0.033030000000000004,0.033460000000000004,0.0005,35.73903,0.04589,35.711529999999996,0.09445,10.73,0.1042,54779.62,0.05634,0.035210000000000005,-0.5223300000000001,0.13905
66,2008hj,0.03789,0.037160000000000006,0.0005,35.972809999999996,0.041319999999999996,36.01697,0.09705,10.4,0.0303,54802.25,0.08965,0.04373,-0.74023,0.14837999999999998
67,2008hu,0.0497,0.05148,0.0005,36.70367,0.029830000000000002,36.69937,0.10188,10.99,0.0921,54806.95,0.15844,0.05112,1.52165,0.17555
68,2008hv,0.01259,0.01396,0.0005,33.8085,0.10999,33.85783,0.095,10.55,0.0279,54817.65,0.03696,0.0252,0.8941399999999999,0.13701
69,2008ia,0.02194,0.02253,0.0005,34.862190000000005,0.06815,34.832840000000004,0.09647,10.77,0.1954,54813.67,0.16535999999999998,0.049339999999999995,1.09743,0.18222
70,2009D,0.02501,0.02427,0.0005,35.02662,0.06327,35.024770000000004,0.09852000000000001,10.43,0.0441,54841.65,0.20589000000000002,0.038,-1.7224700000000002,0.11044000000000001
71,2009I,0.02617,0.027639999999999998,0.0005,35.31453,0.05555,34.85764,0.09945,10.74,0.0272,54852.72,2.10177,0.06536,-1.49318,0.33524
72,2009P,0.0251,0.02512,0.0005,35.102779999999996,0.06113,35.17707,0.09813,9.87,0.0415,54868.38,0.85693,0.05906,-1.51108,0.19924
73,2009Y,0.00932,0.00943,0.0005,32.94899,0.16283,33.002759999999995,0.09072000000000001,10.76,0.0874,54877.1,0.26169000000000003,0.035460000000000005,-1.3934,0.11155
74,2009aa,0.02731,0.02868,0.0005,35.39645,0.05354,35.26064,0.0953,10.6,0.0295,54878.81,0.26427,0.04255,0.03442,0.2014
75,2009ab,0.011170000000000001,0.01031,0.0005,33.14421,0.14893,33.4597,0.10191,10.35,0.1838,54883.89,0.36171,0.04818,0.44304,0.22264
76,2009ad,0.0284,0.028689999999999997,0.0005,35.397220000000004,0.053520000000000005,35.32757,0.09959,10.58,0.0953,54886.91,0.13091,0.04077,-0.58594,0.1505
77,2009ag,0.00864,0.010190000000000001,0.0005,33.11858,0.15068,33.08677,0.09022999999999999,10.2,0.218,54890.24,0.7027399999999999,0.037880000000000004,-0.83654,0.15962
78,2009al,0.022109999999999998,0.02337,0.0005,34.94308,0.0657,34.783,0.09489,10.72,0.0212,54897.2,0.48516000000000004,0.04425,-0.09108,0.18298
79,2009cz,0.021159999999999998,0.021840000000000002,0.0005,34.7935,0.07031,34.79145,0.09431,10.75,0.0221,54943.5,0.21615,0.04811,-1.12743,0.18145999999999998
80,2009ds,0.01923,0.02001,0.0005,34.600429999999996,0.07672999999999999,34.60344,0.09808,10.77,0.0332,54961.19,0.17167000000000002,0.05001,-1.3289,0.14057999999999998
81,2009le,0.01779,0.016640000000000002,0.0005,34.19433,0.09228,34.23538,0.11174,10.84,0.0143,55165.88,0.32387,0.08225,-0.99964,0.2425
