SN z vsi vsi_err salt2c salt2c_err salt2_x1 salt2_x1_err t0 t0_err mB mB_err mures mures_err hostM hostM_err
ASASSN-16fs 0.029 -12.23 0.22 -0.024 0.034 -1.42 0.12 57542.5 0.3 16.14 0.04 -0.2 0.17 10.97 0.16
ASASSN-16hr 0.031 -16.83 0.94 - - - - - - - - - - 10.04 0.16
ASASSN-16jf 0.011 -10.83 0.24 -0.03 0.043 -2.26 0.18 57630.05 0.22 14.56 0.05 0.19 0.25 - -
ASASSN-16la 0.015 -9.93 0.22 -0.102 0.032 0.84 0.09 57671.75 0.09 14.24 0.05 -0.14 0.2 9.14 0.16
ASASSN-16lg 0.021 -10.3 0.23 -0.039 0.034 -1.32 0.15 57674.57 0.17 15.21 0.04 -0.37 0.18 10.57 0.16
ASASSN-17aj 0.021 -10.36 0.22 0.001 0.03 0.19 0.1 57773.09 0.1 15.53 0.03 0.01 0.17 10.48 0.16
ASASSN-17at 0.025 -11.76 0.22 -0.015 0.033 -1.55 0.21 57777.02 0.04 16.16 0.04 0.08 0.17 10.31 0.16
ASASSN-17eb 0.049 -10.9 0.22 0.051 0.036 -1.52 0.18 57836.89 0.5 17.52 0.05 -0.21 0.16 11.07 0.16
ATLAS16agv 0.048 -10.1 0.23 -0.088 0.032 1.37 0.18 57469.94 0.31 16.84 0.03 -0.09 0.15 5.0 0.16
ATLAS16bwu 0.072 -9.47 0.25 0.044 0.037 0.08 0.28 57609.32 0.47 18.22 0.04 -0.03 0.16 10.01 0.16
ATLAS17ajn 0.029 -10.31 0.22 -0.099 0.038 -2.02 0.11 57776.45 0.44 16.27 0.06 0.1 0.17 10.62 0.16
ATLAS17axb 0.032 -11.53 0.22 -0.081 0.033 -0.16 0.12 57796.67 0.18 16.1 0.04 -0.1 0.16 9.84 0.16
CSS160129 0.068 -11.87 0.22 -0.149 0.035 0.6 0.17 57416.44 0.6 17.52 0.04 -0.06 0.16 8.16 0.16
Gaia16bba 0.03 -10.06 0.22 - - - - - - - - - - 8.18 0.16
PS15ahs 0.026 -9.61 0.22 -0.072 0.03 0.18 0.07 57156.71 0.08 15.73 0.03 0.03 0.17 9.82 0.16
PS15aii 0.047 -10.48 0.23 -0.051 0.031 0.44 0.12 57158.9 0.13 17.12 0.03 0.05 0.15 10.9 0.16
PS15bwh 0.073 -11.32 0.26 -0.075 0.036 0.7 0.19 57279.02 0.13 17.67 0.04 -0.22 0.16 5.0 0.16
PS15bzz 0.08 -11.08 0.24 -0.018 0.031 -1.0 0.25 57284.45 0.61 18.34 0.04 -0.09 0.15 9.59 0.16
PS15coh 0.019 -10.78 0.22 - - - - - - - - - - 8.63 0.16
PS15cze 0.039 -11.45 0.23 0.031 0.037 -1.53 0.23 57364.32 0.16 17.57 0.05 0.3 0.16 10.81 0.16
PS16bby 0.053 -10.54 0.22 0.004 0.037 -0.86 0.25 57466.9 0.21 17.68 0.05 0.01 0.16 9.93 0.16
PS16bnz 0.063 -12.82 0.35 -0.128 0.034 -1.12 0.21 57487.48 0.15 17.67 0.04 -0.04 0.16 11.66 0.16
PS16cqa 0.044 -10.91 0.25 0.174 0.056 -2.77 0.36 57545.26 0.81 18.23 0.08 - - - -
PS16cvc 0.03 -11.32 0.22 - - - - - - - - - - 9.76 0.16
PS16dnp 0.051 -8.82 0.25 -0.081 0.034 0.96 0.24 57597.83 0.34 17.28 0.04 0.15 0.16 8.39 0.16
PS16em 0.07 -10.61 0.23 0.206 0.087 -1.01 0.19 57386.5 1.06 18.8 0.13 - - 10.62 0.16
PS16evk 0.054 -9.77 0.28 -0.02 0.039 1.45 0.32 57694.72 0.73 17.39 0.05 0.02 0.17 10.25 0.16
PS16fa 0.046 -10.17 0.23 -0.004 0.031 -0.64 0.09 57400.33 0.18 17.42 0.03 0.1 0.15 10.76 0.16
PS16fbb 0.052 -10.07 0.22 -0.119 0.035 0.7 0.23 57719.61 0.21 17.26 0.04 0.14 0.16 9.38 0.16
PS16n 0.053 -10.14 0.23 -0.055 0.039 -0.31 0.18 57392.52 0.17 17.41 0.05 -0.0 0.16 10.33 0.16
PS17bii 0.073 -10.59 0.24 -0.093 0.043 -0.95 0.37 57811.77 0.36 18.08 0.05 0.0 0.17 10.69 0.16
PSNJ0153424 0.026 -10.51 0.22 0.072 0.031 -0.58 0.07 57393.66 0.09 16.21 0.04 -0.03 0.17 10.66 0.16
PTSS-16efw 0.036 -10.4 0.28 -0.118 0.037 -0.09 0.15 57509.43 0.7 16.71 0.07 0.26 0.16 10.74 0.16
