,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
103,PS15bzz,0.08023999999999999,1e-05,0.07948,1e-05,37.690509999999996,0.01366,37.56041,0.12729000000000001,9.592,0.0172497,57285.07,0.66,0.15947999999999998,0.07392,0.60828,0.27296
104,PS15cku,0.02327,7e-05,0.02327,7e-05,34.9336,0.04711,35.02357,0.11629,9.576,0.022645,57320.14,0.31,0.23721,0.06287000000000001,-0.6824,0.15724000000000002
105,PS15cms,0.06479,2.9999999999999997e-05,0.06638,2.9999999999999997e-05,37.27916,0.016390000000000002,37.17674,0.1197,10.694,0.0224483,57326.88,0.5,0.25246,0.0756,-1.03312,0.19667
106,PS15coh,0.01884,7e-05,0.018580000000000003,7e-05,34.43704,0.05901,34.4287,0.11549000000000001,8.63,0.11837,57330.02,0.38,0.11599000000000001,0.05524,-0.97383,0.1227
107,PS15cwx,0.030060000000000003,0.00011,0.030989999999999997,0.00011,35.568459999999995,0.03587,35.461420000000004,0.11572,10.24,0.14867,57347.55,0.58,0.04353,0.03422,0.94053,0.27747
108,PS15cze,0.03937,2e-05,0.04086,2e-05,36.18492,0.02659,36.26169,0.12072000000000001,10.624,0.18479,57364.92,0.33,0.38452,0.07301,1.631,0.24745999999999999
109,PS15mt,0.07085,9e-05,0.0714,9e-05,37.44526,0.01545,37.55625,0.11632,8.856,0.021172200000000002,57106.16,0.37,0.06546,0.04179,-1.33019,0.20392000000000002
110,PS16aer,0.055470000000000005,1e-05,0.057170000000000006,1e-05,36.94035,0.019,36.94011,0.11765999999999999,11.03,0.020118,57434.15,0.32,0.32386,0.07209,-0.25921,0.27176
111,PS16axi,0.0393,1e-05,0.04002,1e-05,36.13845,0.027139999999999997,36.069559999999996,0.11977,10.835999999999999,0.033831099999999996,57462.14,0.58,0.21846999999999997,0.07742,0.61314,0.20795999999999998
112,PS16ayd,0.054000000000000006,1e-05,0.05471,1e-05,36.84095,0.01985,36.880829999999996,0.11445,10.668,0.0417231,57461.27,0.4,0.03267,0.02755,-1.1781,0.17997
