,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
34,ASASSN-16aj,0.030739999999999996,8e-05,0.030160000000000003,8e-05,35.50815,0.03646,35.4136,0.1148,10.751,0.028174400000000002,57401.82,0.3,0.06373999999999999,0.04742,2.35169,0.22371
35,ASASSN-16av,0.02567,7e-05,0.02758,7e-05,35.309709999999995,0.03975,35.35152,0.11834000000000001,10.767999999999999,0.0236045,57407.86,0.39,0.26873,0.06974,-0.3651,0.17731
36,ASASSN-16ay,0.028339999999999997,1e-05,0.028980000000000002,1e-05,35.419540000000005,0.037469999999999996,35.379670000000004,0.12352,10.615,0.059207,57417.03,0.77,0.7247600000000001,0.08245,-0.8863700000000001,0.17169
37,ASASSN-16bc,0.031939999999999996,0.00015,0.03319,0.00015,35.72099,0.03415,35.610640000000004,0.11045,10.460999999999999,0.0477731,57430.47,0.33,0.03245,0.027139999999999997,-0.87266,0.16127
38,ASASSN-16bq,0.02494,1e-05,0.02489,1e-05,35.08242,0.04363,35.2462,0.1081,10.795,0.0330339,57438.03,0.21,0.038669999999999996,0.029939999999999998,1.71652,0.16637000000000002
39,ASASSN-16br,0.02852,0.00015,0.03003,0.00015,35.49855,0.03775,35.475640000000006,0.11302999999999999,10.238,0.13795,57439.16,0.23,0.08985,0.045219999999999996,-0.8529100000000001,0.14015999999999998
40,ASASSN-16ch,0.026680000000000002,1e-05,0.02913,1e-05,35.431,0.03728,35.361,0.11595,10.331,0.0214876,57453.94,0.42,0.88277,0.06464,-0.14199,0.17414000000000002
41,ASASSN-16cs,0.018019999999999998,1e-05,0.018930000000000002,1e-05,34.47815,0.057370000000000004,34.56066,0.11369000000000001,9.517000000000001,0.11447,57464.23,0.28,0.20185999999999998,0.057929999999999995,-0.45426000000000005,0.13742000000000001
42,ASASSN-16ct,0.04191,4e-05,0.04365,4e-05,36.33285,0.02495,36.19404,0.11477000000000001,9.329,0.0456249,57460.36,0.42,0.15342,0.06207000000000001,-0.95985,0.17065999999999998
43,ASASSN-16db,0.03486,1e-05,0.03575,1e-05,35.886509999999994,0.03038,35.80021,0.11489,11.161,0.0226062,57465.84,0.22,0.25183,0.0684,0.81621,0.19910999999999998
44,ASASSN-16dw,0.03466,0.00015,0.0345,0.00015,35.807190000000006,0.03286,35.685559999999995,0.11912,10.35,0.0456106,57482.76,0.51,0.38249,0.06817000000000001,-0.20181,0.16442
45,ASASSN-16em,0.02302,9e-05,0.0239,9e-05,34.99265,0.04616,35.16901,0.1136,8.998,0.11700999999999999,57500.97,0.22,0.23084000000000002,0.05484,-0.79952,0.14149
46,ASASSN-16fo,0.0289,0.00021,0.03098,0.00021,35.56774,0.03801,35.464929999999995,0.10887999999999999,10.172,0.0268325,57539.79,0.6,0.04534,0.033139999999999996,-0.9444600000000001,0.17827
47,ASASSN-16fs,0.029210000000000003,1e-05,0.02914,1e-05,35.43176,0.03727,35.32918,0.11402999999999999,11.08,0.0278596,57543.31,0.28,0.0905,0.05632,1.4743,0.17059000000000002
48,ASASSN-16hc,0.05093,1e-05,0.05144,1e-05,36.70192,0.02111,36.657759999999996,0.11213,10.76,0.012484499999999999,57582.92,0.37,0.04348,0.033780000000000004,-1.23371,0.1764
49,ASASSN-16hr,0.030860000000000002,1e-05,0.030969999999999998,1e-05,35.56702,0.03506,35.65947,0.13264,10.045,0.10525999999999999,57595.77,0.49,0.21644000000000002,0.08591,-1.38834,0.18988
50,ASASSN-16hz,0.02531,0.00015,0.02481,0.00015,35.0753,0.045689999999999995,35.04626,0.11882000000000001,10.142000000000001,0.031173400000000004,57605.35,0.46,0.30258,0.06816,-0.17255,0.17632
51,ASASSN-16ip,0.01701,0.0001,0.017,0.0001,34.241409999999995,0.06513,34.25376,0.11494000000000001,9.953,0.016838,57619.16,0.2,0.10719000000000001,0.055760000000000004,0.9044399999999999,0.13827
52,ASASSN-16lg,0.021169999999999998,0.00011,0.0213,0.00011,34.738240000000005,0.05219,34.569959999999995,0.11317,10.640999999999998,0.0675076,57674.18,0.3,0.06937,0.05044,0.36482,0.18019000000000002
53,ASASSN-16oz,0.031,0.002,0.03184,0.002,35.628609999999995,0.1406,35.56718,0.10885999999999998,7.507000000000001,0.0468263,57750.1,0.32,0.05326,0.03611,-1.42228,0.17049
54,ASASSN-17aj,0.02128,0.00011,0.02255,0.00011,34.86415,0.0493,34.80191,0.11972999999999999,10.475999999999999,0.0359651,57772.4,0.28,0.26082,0.06713999999999999,-0.7045100000000001,0.16062
55,ASASSN-17at,0.02537,1e-05,0.02708,1e-05,35.26916,0.0401,35.333090000000006,0.11473,10.283,0.0236917,57777.5,0.31,0.05545,0.04215,1.45079,0.26708000000000004
56,ASASSN-17bs,0.0204,2e-05,0.02045,2e-05,34.6484,0.05313,34.57828,0.11731,10.735,0.07626319999999999,57791.26,0.31,0.24854,0.0595,0.9381,0.1719
57,ASASSN-17co,0.01826,0.00015,0.01845,0.00015,34.42157,0.061439999999999995,34.28427,0.11735,11.011,0.0907109,57808.14,0.4,0.3169,0.05852,0.27698,0.2129
58,ASASSN-17eb,0.04924,1e-05,0.05092,1e-05,36.67903,0.021330000000000002,36.495509999999996,0.1323,11.026,0.0354671,57836.28,1.0,0.2003,0.08288,1.00466,0.2444
59,AT2016bln,0.0233,2.9999999999999997e-05,0.023180000000000003,2.9999999999999997e-05,34.92503,0.046919999999999996,34.98845,0.1173,11.024000000000001,0.0250197,57499.25,0.33,0.2263,0.0603,-1.10911,0.14689000000000002
60,AT2016cor,0.04954,2.9999999999999997e-05,0.05097,2.9999999999999997e-05,36.68124,0.02134,36.60362,0.12072999999999999,10.289000000000001,0.0266385,57543.11,0.37,0.71134,0.07315,0.30998000000000003,0.22943000000000002
61,AT2016cvv,0.04457,0.0004,0.04431,0.0004,36.3665,0.03138,36.33717,0.12472000000000001,11.05,0.0886039,57558.8,0.59,0.35484,0.07649,-0.91517,0.17479
62,AT2016cvw,0.03888,9e-05,0.03859,9e-05,36.05712,0.028589999999999997,36.03358,0.12697,11.437000000000001,0.0679254,57559.94,0.4,0.12841,0.06594,1.8662900000000002,0.23499
63,AT2016cyt,0.030739999999999996,9e-05,0.030989999999999997,9e-05,35.568459999999995,0.0356,35.3377,0.11185999999999999,10.873,0.0716183,57580.75,0.19,0.05975,0.03857,1.6074700000000002,0.15758
64,AT2016eoa,0.02109,7e-05,0.02113,7e-05,34.72056,0.051879999999999996,34.65809,0.1143,11.542,0.060880899999999995,57615.4,0.21,0.13421,0.06091,1.76595,0.17326
65,AT2016ews,0.04555,1e-05,0.04649,1e-05,36.4743,0.02336,36.51339,0.11208,10.66,0.03806880000000001,57621.06,0.34,0.02516,0.02325,-1.0192,0.17826
66,AT2016fbk,0.03587,1e-05,0.03609,1e-05,35.90762,0.03009,35.93952,0.12168,11.277000000000001,0.0419285,57625.69,0.42,0.6298,0.06837,-0.63084,0.21234
67,AT2016gmg,0.04944,0.00011,0.04856,0.00011,36.57221,0.02289,36.671040000000005,0.12143,11.397,0.11756,57662.16,0.42,0.06423,0.04689,1.67135,0.27026
68,AT2016gsu,0.07642,5.9999999999999995e-05,0.07585,5.9999999999999995e-05,37.583420000000004,0.014419999999999999,37.56237,0.12571,10.369000000000002,0.0412907,57670.88,0.56,0.09769,0.06418,0.9460700000000001,0.29675
69,AT2016hns,0.038169999999999996,5.9999999999999995e-05,0.03717,5.9999999999999995e-05,35.97341,0.029419999999999998,36.01916,0.11355,10.609000000000002,0.0626788,57697.41,0.3,0.034,0.02855,0.70613,0.23039
70,AT2016htm,0.04331,0.00015,0.04283,0.00015,36.29035,0.02647,36.33875,0.11385,10.43,0.014586000000000002,57703.12,0.31,0.06187,0.04311,-0.1657,0.20298
71,AT2016htn,0.05312000000000001,0.00015,0.053029999999999994,0.00015,36.77055,0.02138,36.7973,0.12,10.74,0.0231814,57700.9,0.42,0.38529,0.0701,-0.26591,0.26252
72,AT2017cfb,0.0229,1e-05,0.02219,1e-05,34.82861,0.04894,34.88361,0.11009000000000001,9.793,0.028388999999999998,57836.8,0.3,0.05227999999999999,0.03795,-1.01465,0.14578
73,AT2017cfc,0.024030000000000003,0.00016,0.02416,0.00016,35.01658,0.04718,35.00179,0.10983,10.933,0.040091800000000004,57837.72,0.23,0.20915,0.056220000000000006,0.62622,0.14428
